Time,cX002,cX003,cX005,cX006,cX008,cX009,cX012,cX013,cX014,cX017,cX018,cX019
1280.875,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.91,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1280.945,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1280.98,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1281.015,0.37,0.33,0.48,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1281.05,0.37,0.33,0.48,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1281.085,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1281.12,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1281.155,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1281.19,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1281.225,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1281.26,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1281.295,0.37,0.33,0.47,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.17
1281.33,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.17
1281.365,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.17
1281.4,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.17
1281.435,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.47,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.505,0.37,0.33,0.47,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.09,0.65,-0.17
1281.54,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.09,0.65,-0.17
1281.575,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.09,0.65,-0.17
1281.61,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.09,0.64,-0.17
1281.645,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.68,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.715,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.75,0.37,0.33,0.49,-0.17,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.785,0.37,0.33,0.49,-0.17,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.17
1281.82,0.37,0.33,0.48,-0.17,0.15,-0.29,-0.55,-0.04,-0.19,-0.08,0.65,-0.17
1281.855,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.07,0.65,-0.17
1281.89,0.37,0.33,0.48,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.07,0.65,-0.17
1281.925,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.19,-0.07,0.65,-0.17
1281.96,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.19,-0.06,0.65,-0.17
1281.995,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.19,-0.06,0.65,-0.17
1282.03,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,-0.06,0.65,-0.17
1282.065,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.21,-0.05,0.65,-0.17
1282.1,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.21,-0.05,0.65,-0.17
1282.135,0.37,0.33,0.48,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,-0.05,0.65,-0.17
1282.17,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.2,-0.04,0.66,-0.17
1282.205,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,-0.04,0.66,-0.17
1282.24,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,-0.04,0.66,-0.17
1282.275,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,-0.03,0.66,-0.17
1282.31,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.04,-0.2,-0.01,0.67,-0.17
1282.345,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.04,-0.2,-0.01,0.67,-0.17
1282.38,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.21,,0.66,-0.17
1282.415,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,,0.66,-0.17
1282.45,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,,0.66,-0.17
1282.485,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.21,0.01,0.67,-0.17
1282.52,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.21,0.01,0.67,-0.17
1282.555,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.21,,0.67,-0.17
1282.59,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.04,-0.2,0.01,0.68,-0.17
1282.625,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.04,-0.2,0.01,0.68,-0.17
1282.66,0.37,0.33,,-0.17,0.15,-0.29,-0.55,-0.03,-0.2,,0.68,-0.17
1282.695,0.37,0.33,,-0.18,0.15,-0.29,-0.55,-0.04,-0.21,,0.69,-0.17
1282.73,0.37,0.33,,-0.18,0.15,-0.29,-0.55,-0.03,-0.21,,0.68,-0.17
1282.765,0.37,0.33,,-0.18,0.15,-0.29,-0.55,-0.03,-0.21,,0.68,-0.17
1282.8,0.37,0.33,,-0.19,0.15,-0.29,-0.55,-0.03,-0.23,0.01,0.68,-0.17
1282.835,0.37,0.33,0.5,-0.19,0.15,-0.29,-0.55,-0.03,-0.24,0.01,0.67,-0.17
1282.87,0.37,0.33,0.5,-0.19,0.15,-0.29,-0.55,-0.03,-0.24,0.01,0.67,-0.17
1282.905,0.37,0.33,0.5,-0.19,0.15,-0.29,-0.55,-0.03,-0.23,0.02,0.67,-0.17
1282.94,0.37,0.33,,-0.19,0.15,-0.29,-0.55,-0.03,-0.25,0.03,0.67,-0.17
1282.975,0.37,0.33,,-0.19,0.15,-0.29,-0.55,-0.03,-0.25,0.03,0.67,-0.17
1283.01,0.37,0.33,,-0.19,0.15,-0.29,-0.55,-0.03,-0.25,0.04,0.67,-0.17
1283.045,0.37,0.33,,-0.19,0.15,-0.29,-0.55,-0.03,-0.26,0.04,0.68,-0.17
1283.08,0.37,0.33,,-0.19,0.15,-0.29,-0.55,-0.03,-0.26,0.04,0.68,-0.17
1283.115,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.29,0.05,0.68,-0.17
1283.15,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.31,0.06,0.69,-0.17
1283.185,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.31,0.06,0.69,-0.17
1283.22,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.31,0.06,0.69,-0.16
1283.255,0.37,0.33,0.5,-0.2,0.15,-0.29,-0.55,-0.03,-0.31,0.08,0.69,-0.16
1283.29,0.37,0.33,0.5,-0.2,0.15,-0.29,-0.55,-0.03,-0.31,0.08,0.69,-0.16
1283.325,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.31,0.13,0.69,-0.16
1283.36,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.32,0.14,0.7,-0.15
1283.395,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.32,0.14,0.7,-0.15
1283.43,0.37,0.33,,-0.2,0.15,-0.29,-0.55,-0.03,-0.33,0.15,0.71,-0.16
1283.465,0.37,0.33,0.5,-0.2,0.15,-0.3,-0.55,-0.03,-0.34,0.15,0.71,-0.15
1283.5,0.37,0.33,0.5,-0.2,0.15,-0.3,-0.55,-0.03,-0.34,0.15,0.71,-0.15
1283.535,0.37,0.33,,-0.2,0.15,-0.31,-0.55,-0.03,-0.34,0.15,0.71,-0.15
1283.57,0.37,0.33,,-0.2,0.15,-0.31,-0.55,-0.03,-0.34,0.15,0.72,-0.14
1283.605,0.37,0.33,,-0.2,0.15,-0.31,-0.55,-0.03,-0.34,0.15,0.72,-0.14
1283.64,0.37,0.33,,-0.2,0.15,-0.33,-0.55,-0.03,-0.34,0.16,0.73,-0.14
1283.675,0.37,0.33,,-0.2,0.15,-0.35,-0.55,-0.03,-0.35,0.17,0.74,-0.14
1283.71,0.37,0.33,,-0.2,0.15,-0.37,-0.55,-0.03,-0.37,0.17,0.75,-0.13
1283.745,0.37,0.33,,-0.2,0.15,-0.37,-0.55,-0.03,-0.37,0.17,0.75,-0.13
1283.78,0.37,0.33,0.5,-0.2,0.15,-0.4,-0.55,-0.03,-0.37,0.17,0.76,-0.14
1283.815,0.37,0.33,,-0.2,0.15,-0.43,-0.55,-0.03,-0.37,0.18,0.76,-0.13
1283.85,0.37,0.33,,-0.2,0.15,-0.43,-0.55,-0.03,-0.37,0.18,0.76,-0.13
1283.885,0.37,0.33,,-0.2,0.15,-0.44,-0.55,-0.03,-0.37,0.18,0.76,-0.13
1283.92,0.37,0.33,0.5,-0.2,0.15,-0.47,-0.55,-0.03,-0.37,0.19,0.75,-0.12
1283.955,0.37,0.33,0.5,-0.2,0.15,-0.47,-0.55,-0.03,-0.37,0.19,0.75,-0.12
1283.99,0.37,0.33,,-0.2,0.15,-0.47,-0.55,-0.03,-0.38,0.19,0.75,-0.11
1284.025,0.37,0.33,,-0.2,0.15,-0.47,-0.55,-0.03,-0.4,0.19,0.75,-0.11
1284.06,0.37,0.33,,-0.2,0.15,-0.47,-0.55,-0.03,-0.4,0.19,0.75,-0.11
1284.095,0.37,0.33,,-0.2,0.15,-0.47,-0.55,-0.03,-0.4,0.2,0.74,-0.11
1284.13,0.37,0.33,,-0.2,0.15,-0.47,-0.55,-0.03,-0.4,0.2,0.74,-0.11
1284.165,0.37,0.33,0.5,-0.19,0.15,-0.48,-0.55,-0.03,-0.42,0.21,0.73,-0.1
1284.2,0.37,0.33,,-0.19,0.15,-0.49,-0.55,-0.03,-0.44,0.22,0.73,-0.1
1284.235,0.37,0.33,,-0.19,0.15,-0.49,-0.55,-0.03,-0.44,0.22,0.73,-0.1
1284.27,0.37,0.33,,-0.18,0.15,-0.49,-0.55,-0.03,-0.45,0.23,0.74,-0.1
1284.305,0.37,0.33,,-0.17,0.15,-0.51,-0.55,-0.03,-0.48,0.24,0.74,-0.1
1284.34,0.37,0.33,,-0.17,0.15,-0.51,-0.55,-0.03,-0.48,0.24,0.74,-0.1
1284.375,0.37,0.33,0.5,-0.16,0.15,-0.51,-0.55,-0.04,-0.49,0.24,0.75,-0.09
1284.41,0.37,0.33,,-0.16,0.16,-0.52,-0.55,-0.04,-0.49,0.25,0.75,-0.08
1284.445,0.37,0.33,,-0.16,0.16,-0.52,-0.55,-0.04,-0.49,0.25,0.75,-0.08
1284.48,0.37,0.33,,-0.15,0.15,-0.53,-0.55,-0.04,-0.51,0.26,0.76,-0.07
1284.515,0.37,0.33,,-0.15,0.15,-0.55,-0.55,-0.04,-0.52,0.25,0.78,-0.07
1284.55,0.37,0.33,,-0.15,0.15,-0.58,-0.55,-0.03,-0.52,0.25,0.78,-0.06
1284.585,0.37,0.33,,-0.15,0.15,-0.58,-0.55,-0.03,-0.52,0.25,0.78,-0.06
1284.62,0.37,0.33,,-0.14,0.15,-0.6,-0.55,-0.04,-0.53,0.25,0.78,-0.06
1284.655,0.37,0.33,,-0.13,0.15,-0.62,-0.55,-0.04,-0.54,0.25,0.78,-0.06
1284.69,0.37,0.33,,-0.13,0.15,-0.62,-0.55,-0.04,-0.54,0.25,0.78,-0.06
1284.725,0.37,0.33,0.5,-0.13,0.15,-0.65,-0.55,-0.04,-0.56,0.24,0.78,-0.06
1284.76,0.37,0.33,,-0.12,0.15,-0.66,-0.55,-0.04,-0.57,0.24,0.78,-0.06
1284.795,0.37,0.33,,-0.12,0.15,-0.66,-0.55,-0.04,-0.57,0.24,0.78,-0.06
1284.83,0.37,0.33,,-0.12,0.15,-0.68,-0.55,-0.04,-0.58,0.23,0.78,-0.06
1284.865,0.37,0.33,0.5,-0.12,0.15,-0.7,-0.55,-0.04,-0.59,0.22,0.79,-0.06
1284.9,0.37,0.33,0.5,-0.12,0.15,-0.7,-0.55,-0.04,-0.59,0.22,0.79,-0.06
1284.935,0.37,0.33,0.5,-0.11,0.15,-0.72,-0.55,-0.05,-0.6,0.22,0.78,-0.06
1284.97,0.37,0.33,0.5,-0.11,0.15,-0.72,-0.55,-0.05,-0.6,0.21,0.78,-0.06
1285.005,0.37,0.33,0.5,-0.11,0.15,-0.72,-0.55,-0.05,-0.6,0.21,0.78,-0.06
1285.041,0.37,0.33,,-0.12,0.15,-0.74,-0.55,-0.04,-0.62,0.21,0.78,-0.06
1285.076,0.37,0.33,,-0.11,0.15,-0.77,-0.55,-0.04,-0.65,0.2,0.78,-0.05
1285.111,0.37,0.33,,-0.11,0.15,-0.77,-0.55,-0.04,-0.65,0.2,0.78,-0.05
1285.146,0.37,0.33,,-0.11,0.15,-0.77,-0.55,-0.04,-0.64,0.19,0.78,-0.05
1285.181,0.37,0.33,,-0.1,0.15,-0.78,-0.55,-0.04,-0.65,0.19,0.79,-0.04
1285.216,0.37,0.33,,-0.1,0.15,-0.78,-0.55,-0.04,-0.65,0.19,0.79,-0.04
1285.251,0.37,0.33,0.5,-0.09,0.15,-0.79,-0.55,-0.04,-0.66,0.18,0.79,-0.03
1285.286,0.37,0.33,,-0.08,0.15,-0.79,-0.55,-0.04,-0.67,0.18,0.79,-0.01
1285.321,0.37,0.33,,-0.08,0.15,-0.79,-0.55,-0.04,-0.67,0.18,0.79,-0.01
1285.356,0.37,0.33,,-0.07,0.15,,-0.55,-0.04,-0.67,0.17,0.8,
1285.391,0.37,0.33,,-0.07,0.15,,-0.55,-0.05,-0.68,0.17,0.8,0.01
1285.426,0.37,0.33,,-0.07,0.15,,-0.55,-0.05,-0.68,0.17,0.8,0.01
1285.461,0.37,0.33,,-0.05,0.15,,-0.55,-0.06,-0.68,0.17,0.8,0.02
1285.496,0.36,0.33,,-0.03,0.15,,-0.55,-0.06,-0.7,0.17,0.8,0.02
1285.531,0.36,0.33,,-0.03,0.15,,-0.55,-0.06,-0.7,0.17,0.8,0.02
1285.566,0.37,0.33,,-0.01,0.15,,-0.55,-0.06,-0.71,0.17,0.8,0.03
1285.601,0.37,0.33,,,0.15,,-0.55,-0.06,-0.72,0.17,0.8,0.04
1285.636,0.37,0.33,,,0.15,,-0.55,-0.06,-0.72,0.17,0.8,0.04
1285.671,0.37,0.33,,,0.15,,-0.55,-0.07,-0.72,0.17,0.8,0.04
1285.706,0.37,0.33,,-0.01,0.15,,-0.55,-0.07,-0.73,0.17,0.8,0.05
1285.741,0.37,0.33,,-0.01,0.15,,-0.55,-0.07,-0.73,0.17,0.8,0.05
1285.776,0.37,0.33,,,0.15,,-0.55,-0.07,-0.73,0.17,0.8,0.05
1285.811,0.37,0.33,,,0.15,,-0.55,-0.07,-0.73,0.17,0.81,0.07
1285.846,0.37,0.33,0.5,,0.15,,-0.55,-0.07,-0.73,0.17,0.81,0.08
1285.881,0.37,0.33,0.5,,0.15,,-0.55,-0.07,-0.73,0.17,0.81,0.08
1285.916,0.37,0.33,0.5,-0.01,0.15,,-0.55,-0.08,-0.73,0.18,0.82,0.07
1285.951,0.37,0.33,,,0.15,,-0.55,-0.08,-0.76,0.18,0.84,0.07
1285.986,0.37,0.33,,,0.15,,-0.55,-0.08,-0.76,0.18,0.84,0.07
1286.021,0.37,0.33,,0.02,0.15,,-0.55,-0.08,-0.76,0.18,0.84,0.07
1286.055,0.37,0.33,0.5,0.03,0.15,,-0.55,-0.08,-0.77,0.18,0.86,0.07
1286.09,0.37,0.33,0.5,0.03,0.15,,-0.55,-0.08,-0.77,0.18,0.86,0.07
1286.125,0.37,0.33,,0.03,0.15,,-0.55,-0.08,-0.78,0.18,0.87,0.07
1286.16,0.37,0.33,0.49,0.04,0.15,,-0.55,-0.07,-0.8,0.18,0.88,0.07
1286.195,0.37,0.33,0.49,0.04,0.15,,-0.55,-0.07,-0.8,0.18,0.88,0.07
1286.23,0.37,0.33,,0.04,0.15,,-0.55,-0.07,-0.81,0.17,0.88,0.07
1286.265,0.37,0.33,,0.04,0.15,,-0.55,-0.07,-0.81,0.17,0.88,0.07
1286.3,0.37,0.33,,0.04,0.15,,-0.55,-0.07,-0.81,0.17,0.88,0.07
1286.335,0.37,0.33,,0.05,0.15,,-0.55,-0.08,-0.81,0.17,0.87,0.07
1286.37,0.37,0.33,,0.05,0.15,,-0.55,-0.09,-0.82,0.17,0.87,0.07
1286.405,0.37,0.33,,0.05,0.15,,-0.55,-0.09,-0.82,0.17,0.87,0.07
1286.44,0.37,0.33,0.5,0.05,0.15,,-0.55,-0.09,-0.83,0.17,0.87,0.08
1286.475,0.37,0.33,,0.05,0.15,,-0.55,-0.1,-0.84,0.17,0.87,0.07
1286.51,0.37,0.33,,0.05,0.15,,-0.55,-0.1,-0.84,0.17,0.87,0.07
1286.545,0.37,0.33,,0.05,0.15,,-0.55,-0.11,-0.84,0.17,0.87,0.08
1286.58,0.37,0.33,,0.05,0.15,,-0.55,-0.12,-0.84,0.17,0.88,0.08
1286.615,0.37,0.33,,0.05,0.15,,-0.55,-0.12,-0.84,0.17,0.88,0.08
1286.65,0.37,0.33,,0.05,0.15,,-0.55,-0.12,-0.84,0.17,0.89,0.09
1286.685,0.37,0.33,,0.05,0.15,,-0.55,-0.12,-0.85,0.17,0.89,0.1
1286.72,0.37,0.33,,0.05,0.15,,-0.55,-0.12,-0.85,0.17,0.89,0.1
1286.755,0.37,0.33,0.49,0.05,0.15,,-0.55,-0.14,-0.84,0.16,0.88,0.1
1286.79,0.37,0.33,,0.04,0.15,,-0.55,-0.14,-0.85,0.15,0.89,0.1
1286.825,0.37,0.33,,0.04,0.15,,-0.55,-0.14,-0.85,0.15,0.89,0.1
1286.86,0.37,0.33,0.5,0.04,0.15,,-0.55,-0.15,-0.85,0.14,,0.1
1286.895,0.37,0.33,0.5,0.04,0.15,,-0.55,-0.16,-0.84,0.14,,0.1
1286.93,0.37,0.33,0.5,0.04,0.15,,-0.55,-0.16,-0.84,0.14,,0.1
1286.965,0.37,0.33,,0.05,0.15,,-0.55,-0.16,-0.84,0.13,0.93,0.11
1287.0,0.37,0.33,,0.04,0.15,,-0.55,-0.17,-0.85,0.12,0.93,0.12
1287.035,0.37,0.33,,0.04,0.15,,-0.55,-0.17,-0.85,0.12,0.93,0.12
1287.07,0.37,0.33,0.5,0.05,0.15,,-0.55,-0.17,-0.84,0.12,0.95,0.13
1287.105,0.37,0.33,,0.05,0.15,,-0.55,-0.17,-0.85,0.12,,0.14
1287.14,0.37,0.33,,0.05,0.15,,-0.55,-0.17,-0.85,0.12,,0.14
1287.175,0.37,0.33,,0.06,0.15,,-0.55,-0.17,-0.84,0.11,0.98,0.12
1287.21,0.37,0.33,,0.06,0.15,,-0.55,-0.18,-0.84,0.08,0.99,0.13
1287.245,0.37,0.33,,0.06,0.15,,-0.55,-0.18,-0.84,0.08,0.99,0.13
1287.28,0.37,0.33,,0.05,0.15,,-0.55,-0.18,-0.84,0.07,0.99,0.13
1287.315,0.37,0.33,,0.05,0.15,,-0.55,-0.19,-0.84,0.05,,0.13
1287.35,0.37,0.33,,0.05,0.15,,-0.55,-0.19,-0.84,0.05,,0.13
1287.385,0.37,0.33,,0.05,0.15,,-0.55,-0.19,-0.84,0.05,,0.13
1287.42,0.37,0.33,,0.05,0.15,,-0.55,-0.19,-0.84,0.05,,0.13
1287.455,0.37,0.33,,0.05,0.15,,-0.55,-0.19,-0.84,0.05,,0.13
1287.49,0.37,0.33,,0.06,0.15,,-0.55,-0.2,-0.84,0.04,,0.14
1287.525,0.37,0.33,,0.05,0.15,,-0.55,-0.21,-0.84,0.05,,0.13
1287.56,0.37,0.33,,0.05,0.15,,-0.55,-0.21,-0.84,0.05,,0.13
1287.595,0.37,0.33,,0.05,0.15,,-0.55,-0.22,-0.84,0.04,,0.13
1287.63,0.37,0.33,,0.05,0.15,,-0.55,-0.22,-0.84,0.03,,0.13
1287.665,0.37,0.33,,0.05,0.15,,-0.55,-0.23,-0.84,0.02,,0.13
1287.7,0.37,0.33,,0.05,0.15,,-0.55,-0.23,-0.84,0.02,,0.13
1287.735,0.37,0.33,0.5,0.05,0.15,,-0.55,-0.23,-0.84,0.01,,0.13
1287.77,0.37,0.33,,0.06,0.15,,-0.55,-0.24,-0.84,,,0.13
1287.805,0.37,0.33,,0.06,0.15,,-0.55,-0.24,-0.84,,,0.13
1287.84,0.37,0.33,,0.06,0.15,,-0.55,-0.25,-0.84,,0.99,0.13
1287.875,0.37,0.33,0.5,0.07,0.15,,-0.55,-0.26,-0.83,-0.02,,0.13
1287.91,0.37,0.33,0.5,0.07,0.15,,-0.55,-0.26,-0.83,-0.02,,0.13
1287.945,0.37,0.33,,0.06,0.15,,-0.55,-0.27,-0.84,-0.04,,0.14
1287.98,0.37,0.33,,0.06,0.15,,-0.55,-0.28,-0.84,-0.05,,0.13
1288.015,0.37,0.33,,0.06,0.15,,-0.55,-0.28,-0.84,-0.05,,0.13
1288.05,0.37,0.33,,0.06,0.15,,-0.55,-0.29,-0.84,-0.05,,0.14
1288.085,0.37,0.33,,0.07,0.15,,-0.55,-0.29,-0.85,-0.07,,0.13
1288.12,0.37,0.33,,0.07,0.15,,-0.55,-0.29,-0.85,-0.07,,0.13
1288.155,0.37,0.33,0.5,0.06,0.15,,-0.55,-0.29,-0.85,-0.07,,0.13
1288.19,0.37,0.33,,0.07,0.15,,-0.55,-0.31,-0.85,-0.08,,0.14
1288.225,0.37,0.33,,0.07,0.15,,-0.55,-0.31,-0.85,-0.08,,0.14
1288.26,0.37,0.33,,0.07,0.15,,-0.55,-0.31,-0.85,-0.09,,0.14
1288.295,0.37,0.33,,0.07,0.15,,-0.55,-0.32,-0.85,-0.11,0.99,0.13
1288.33,0.37,0.33,,0.07,0.15,,-0.55,-0.32,-0.85,-0.11,0.99,0.13
1288.365,0.37,0.33,,0.07,0.15,,-0.55,-0.33,-0.85,-0.11,0.98,0.13
1288.4,0.37,0.33,0.5,0.08,0.15,,-0.55,-0.34,-0.85,-0.11,0.98,0.13
1288.435,0.37,0.33,0.5,0.08,0.15,,-0.55,-0.34,-0.85,-0.11,0.98,0.13
1288.47,0.37,0.33,,0.07,0.15,,-0.55,-0.35,-0.85,-0.12,0.98,0.14
1288.505,0.37,0.33,0.5,0.07,0.15,,-0.55,-0.36,-0.85,-0.14,0.98,0.14
1288.54,0.37,0.33,0.5,0.07,0.15,,-0.55,-0.36,-0.85,-0.14,0.98,0.14
1288.575,0.37,0.33,,0.07,0.15,,-0.55,-0.36,-0.85,-0.15,,0.14
1288.61,0.37,0.33,,0.07,0.15,,-0.55,-0.36,-0.85,-0.17,,0.15
1288.645,0.37,0.33,,0.07,0.15,,-0.55,-0.36,-0.85,-0.17,,0.15
1288.68,0.37,0.33,0.5,0.07,0.15,,-0.55,-0.4,-0.85,-0.19,,0.14
1288.715,0.37,0.33,,0.07,0.15,,-0.55,-0.42,-0.85,-0.2,0.99,0.15
1288.75,0.37,0.33,,0.07,0.15,,-0.55,-0.42,-0.85,-0.2,0.99,0.15
1288.785,0.37,0.33,,0.07,0.15,,-0.55,-0.44,-0.85,-0.2,0.99,0.15
1288.82,0.37,0.33,,0.07,0.15,,-0.55,-0.45,-0.85,-0.21,,0.15
1288.855,0.37,0.33,,0.07,0.15,,-0.55,-0.45,-0.85,-0.21,,0.15
1288.89,0.37,0.33,,0.08,0.15,,-0.55,-0.47,-0.85,-0.21,,0.15
1288.925,0.37,0.33,0.5,0.08,0.15,,-0.55,-0.48,-0.86,-0.22,0.99,0.15
1288.96,0.37,0.33,0.5,0.08,0.15,,-0.55,-0.48,-0.86,-0.22,0.99,0.15
1288.995,0.37,0.33,,0.08,0.15,,-0.55,-0.5,-0.85,-0.24,0.99,0.15
1289.03,0.37,0.33,0.5,0.08,0.15,,-0.55,-0.51,-0.85,-0.26,,0.14
1289.065,0.37,0.33,0.5,0.08,0.15,,-0.55,-0.51,-0.85,-0.26,,0.14
1289.1,0.37,0.33,,0.08,0.15,,-0.55,-0.52,-0.85,-0.28,0.99,0.13
1289.135,0.37,0.33,,0.09,0.15,,-0.55,-0.54,-0.85,-0.28,,0.13
1289.17,0.37,0.33,,0.09,0.15,,-0.55,-0.54,-0.85,-0.28,,0.13
